Zip Code,Median Household income 
3082,89563
3084,96765
3086,87125
3087,128229
3101,50184
3102,57981
3103,57797
3104,78278
3106,98009
3109,93144
3110,142656
3215,138750
3216,89492
3217,50732
3218,108750
3220,63821
3221,72981
3222,65698
3223,88040
3224,97143
3225,70844
3226,80625
3227,75250
3229,109934
3230,69375
3231,93221
3233,-
3234,86932
3235,56840
3237,79342
3238,31875
3240,62679
3241,67426
3242,82713
3243,75952
3244,66321
3245,70795
3246,61795
3249,75941
3251,55536
3253,78770
3254,84295
3255,99261
3256,80156
3257,97768
3258,87266
3259,51625
3260,113942
3261,88068
3262,74423
3263,61618
3264,73432
3266,53000
3268,77368
3269,77875
3273,-
3275,80438
3276,63973
3278,76518
3279,50625
3280,76250
3281,96981
3282,64524
3284,75625
3285,70688
3287,85435
3290,100327
3291,-
3293,-
3301,78961
3303,72705
3304,113750
3307,80991
3431,73283
3440,76767
3441,64844
3442,72813
3443,79680
3444,84444
3445,66563
3446,60162
3447,79432
3448,69375
3449,98947
3450,73500
3451,59337
3452,77478
3455,72083
3456,65938
3457,78056
3458,91691
3461,86793
3462,100296
3464,86250
3465,63182
3466,76505
3467,92303
3470,56319
3561,51327
3570,52250
3574,60515
3575,-
3576,56932
3579,54688
3580,101786
3581,65642
3582,49875
3583,71875
3584,68201
3585,62292
3586,84286
3588,67292
3590,39444
3592,51458
3593,79773
3595,63750
3597,65197
3598,56071
3601,61250
3602,74141
3603,53531
3604,72039
3605,66875
3607,66094
3608,91667
3609,92857
3740,66786
3741,72596
3743,56580
3745,86125
3746,119792
3748,81713
3750,176875
3751,-
3752,55536
3753,108608
3754,-
3755,145208
3765,70964
3766,85826
3768,140500
3770,103317
3771,65625
3773,64646
3774,56708
3777,91786
3779,78068
3780,42386
3781,83875
3782,99432
3784,65240
3785,58882
3801,99397
3809,101250
3810,85057
3811,121188
3812,-
3813,60469
3814,61632
3816,53793
3817,103778
3818,46364
3819,97800
3820,80565
3823,116250
3824,124118
3825,98790
3826,106071
3827,108011
3830,54607
3832,86875
3833,101967
3835,68693
3836,68750
3837,68603
3838,88036
3839,67704
3840,111389
3841,107888
3842,98316
3844,141667
3845,73679
3846,78333
3847,88243
3848,92422
3849,60304
3850,80294
3851,74274
3852,67833
3853,64931
3854,140236
3855,95179
3856,125417
3857,93750
3858,108125
3860,56378
3861,112576
3862,107115
3864,61146
3865,82217
3867,65217
3868,61414
3869,80625
3870,122348
3871,-
3872,68261
3873,103482
3874,72898
3875,73563
3878,70787
3882,47500
3883,30074
3884,105104
3885,123447
3886,61265
3887,76563
3890,55913
3894,68796
3901,72643
3902,80114
3903,87892
3904,79152
3905,102708
3906,81449
3907,73281
3908,98929
3909,92762
3910,56859
3911,-
4001,58929
4002,74057
4003,83750
4005,58910
4006,-
4008,92344
4009,50859
4010,67976
4011,77328
4015,56250
4017,80250
4019,-
4020,53750
4021,124840
4022,63882
4024,69333
4027,68266
4029,55227
4030,66452
4032,89390
4037,56563
4038,86096
4039,72247
4040,60231
4041,47386
4042,78264
4043,96275
4046,87266
4047,47625
4048,58393
4049,67552
4050,72000
4051,60441
4055,67198
4056,55556
4057,-
4061,78203
4062,77866
4063,-
4064,59102
4066,78594
4068,45833
4069,85865
4071,83355
4072,70805
4073,54084
4074,102372
4076,60417
4079,82632
4083,60053
4084,77477
4085,90333
4086,78429
4087,60804
4088,62734
4090,74730
4091,58558
4092,67546
4093,80111
4095,42566
4096,109667
4097,113561
4101,42379
4102,64694
4103,78040
4105,127663
4106,67779
4107,123425
4108,86000
4109,62692
4110,171125
4210,62076
4216,41964
4217,65216
4219,55417
4220,55139
4221,64167
4222,84667
4224,44415
4226,51667
4227,-
4228,-
4231,48750
4234,55625
4236,67689
4237,71094
4238,61058
4239,67063
4240,52225
4250,65074
4252,64481
4253,57768
4254,55855
4255,71750
4256,69063
4257,46282
4258,67500
4259,67347
4260,64815
4261,62321
4263,56544
4265,69148
4267,-
4268,42143
4270,57225
4271,-
4274,66052
4275,62857
4276,47188
4280,64671
4281,41816
4282,66250
4284,66786
4285,49750
4286,87386
4287,62426
4289,46250
4290,56875
4292,50667
4294,49571
4330,58285
4342,69018
4343,-
4344,42240
4345,67330
4346,52159
4347,75938
4348,58262
4349,66406
4350,69338
4351,79688
4352,64792
4353,57206
4354,54318
4355,78378
4357,62844
4358,63988
4359,38750
4360,66786
4363,61384
4364,81076
4401,58945
4406,49318
4408,49750
4410,44350
4411,65227
4412,73319
4413,52083
4414,43750
4415,37375
4416,53413
4417,55536
4418,48438
4419,65943
4421,72500
4422,55417
4424,40313
4426,56384
4427,57019
4428,70282
4429,62763
4430,47708
4431,-
4434,55625
4435,63393
4438,43125
4441,50625
4442,-
4443,44250
4444,88879
4448,52955
4449,60865
4450,54375
4451,33393
4453,49167
4454,-
4455,49766
4456,58043
4457,45825
4459,46458
4460,54688
4461,61382
4462,44222
4463,38250
4464,43125
4468,51571
4469,-
4471,41250
4472,60938
4473,81706
4474,71750
4475,48750
4476,62188
4478,60962
4479,52500
4481,47656
4485,63958
4487,35104
4488,70568
4489,56250
4490,48750
4491,46250
4492,43125
4493,48879
4495,44886
4496,73036
4497,43214
4530,60511
4535,72857
4537,64659
4538,59861
4539,68125
4541,-
4543,72500
4544,82760
4547,57014
4548,70156
4551,69432
4553,87891
4554,67500
4555,62685
4556,59375
4558,88611
4562,72500
4563,54489
4564,77375
4568,95417
4570,-
4571,53462
4572,62279
4573,69167
4574,49293
4575,103750
4576,68750
4578,67714
4579,78021
4605,64292
4606,44010
4607,52841
4609,76719
4611,61667
4612,82917
4613,49750
4614,68211
4616,57250
4617,79583
4619,45656
4622,42240
4623,56200
4624,68462
4625,71250
4626,65417
4627,67188
4628,62500
4629,-
4630,48438
4631,47292
4634,45000
4635,-
4637,46705
4640,53000
4642,87917
4643,49345
4644,-
4645,40417
4646,100313
4648,43438
4649,50179
4650,-
4652,41026
4653,56250
4654,49219
4655,57356
4657,59643
4658,54306
4660,94706
4662,83274
4664,53929
4666,43810
4667,41447
4668,40000
4669,76500
4671,65250
4673,68750
4674,88173
4675,108269
4676,66000
4677,58125
4679,70000
4680,46250
4681,54265
4683,-
4684,76172
4685,70625
4686,58438
4691,58750
4693,73056
4694,55441
4730,51211
4732,45603
4733,58750
4734,53188
4735,50833
4736,53911
4739,43594
4740,55556
4741,-
4742,64511
4743,51367
4745,55104
4746,52875
4747,46346
4750,42446
4756,61806
4757,60592
4758,51667
4760,50000
4761,52045
4762,49000
4763,49375
4764,50000
4765,48750
4766,58021
4768,51875
4769,47372
4772,46250
4773,57813
4774,37159
4776,44943
4777,47500
4779,44375
4780,55000
4781,57083
4783,44167
4785,45156
4786,53261
4787,44453
4841,56383
4843,80260
4847,63750
4848,67361
4849,67600
4851,128125
4852,-
4853,73125
4854,67581
4855,74167
4856,84345
4858,70870
4859,50341
4860,59744
4861,52646
4862,59063
4863,78173
4864,65554
4901,55775
4910,53315
4911,47500
4912,41125
4915,54432
4917,67656
4918,37500
4920,41250
4921,45809
4922,46250
4923,40938
4924,51563
4925,55781
4926,-
4927,49653
4928,46979
4929,43095
4930,36313
4932,54821
4933,-
4936,57656
4937,57738
4938,54615
4939,52361
4940,-
4941,55833
4942,35000
4943,39432
4944,-
4945,60938
4947,65625
4949,47000
4950,60115
4951,46648
4952,53080
4953,55417
4955,64028
4956,53500
4957,53910
4958,52009
4961,46364
4962,36298
4963,72804
4964,85972
4965,56176
4966,48854
4967,55000
4969,52188
4970,52917
4971,53098
4973,54000
4974,54646
4975,-
4976,50453
4978,59583
4979,58646
4981,59569
4982,52917
4983,43125
4984,60875
4985,63750
4986,45250
4987,42381
4988,59375
4989,62636
4992,-
5001,72656
5031,59250
5032,62206
5033,68919
5034,101250
5035,59792
5036,74219
5037,97273
5038,54722
5039,70625
5040,67574
5041,64336
5042,71750
5043,94167
5045,81810
5046,60893
5048,70543
5050,-
5051,56389
5052,51615
5053,110625
5055,127083
5056,69250
5058,69423
5059,113281
5060,54744
5061,66313
5062,47188
5065,87837
5067,97679
5068,64333
5069,73889
5070,94875
5071,151250
5072,75078
5075,100625
5076,60179
5077,67109
5079,58125
5081,40625
5083,45313
5084,58938
5086,47308
5089,68250
5091,83000
5101,52500
5141,48750
5142,82083
5143,61648
5146,53646
5148,82935
5149,58938
5150,67688
5151,71389
5152,81111
5153,64167
5154,57188
5155,51116
5156,61694
5158,54423
5161,79688
5201,55630
5250,64071
5251,73846
5252,62813
5253,91250
5254,142639
5255,58367
5257,76667
5260,92841
5261,60564
5262,72344
5301,64359
5340,56250
5341,62188
5342,61417
5343,60938
5345,71080
5346,68750
5350,65000
5352,76875
5353,80441
5354,79000
5355,54219
5356,73587
5358,68125
5359,62188
5360,85833
5361,66964
5362,95781
5363,64022
5401,75410
5403,87292
5404,57619
5405,-
5408,80000
5439,-
5440,60870
5441,64919
5442,57917
5443,72143
5444,90893
5445,132750
5446,82134
5447,75714
5448,71964
5450,63438
5452,94952
5454,77361
5455,95469
5456,69450
5457,74000
5458,72258
5459,56332
5461,81364
5462,81650
5463,49911
5464,81154
5465,107241
5468,83428
5471,50972
5472,85781
5473,97202
5474,85000
5476,51384
5477,87115
5478,76505
5481,-
5482,132398
5483,74375
5485,58750
5486,91538
5487,68977
5488,69489
5489,102734
5491,70565
5492,68281
5494,96875
5495,93405
5602,78315
5640,55833
5641,64066
5647,53750
5648,91250
5649,93173
5650,72500
5651,70605
5652,64821
5653,48472
5654,53676
5655,65931
5656,50833
5657,105208
5658,63021
5660,88625
5661,62147
5663,76000
5664,-
5667,70625
5669,56875
5672,98066
5673,89844
5674,76761
5675,53611
5676,83051
5677,90221
5678,-
5679,72000
5680,65441
5681,95795
5682,67000
5701,61774
5730,70625
5732,46696
5733,68203
5734,69408
5735,80667
5736,79808
5737,83269
5738,74375
5739,62935
5740,-
5742,81471
5743,53083
5744,42361
5747,58333
5748,65114
5751,72321
5753,77154
5757,60385
5758,69167
5759,63893
5760,63625
5761,67159
5762,60000
5763,75486
5764,60625
5765,68472
5766,73281
5767,66786
5769,70972
5770,74500
5772,81500
5773,64464
5774,60000
5775,37386
5776,72143
5777,70789
5778,66250
5819,61705
5820,46250
5821,70577
5822,47153
5824,52000
5825,70481
5826,62308
5827,57500
5828,74271
5829,52083
5830,60625
5832,69375
5833,72708
5836,61458
5837,41932
5839,65865
5841,70833
5842,59167
5843,68125
5845,44375
5846,37500
5847,53393
5850,-
5851,51818
5853,44583
5855,57331
5857,57583
5858,44063
5859,47303
5860,50761
5862,78125
5866,48125
5867,59375
5868,51667
5871,57250
5872,54417
5873,76875
5874,51875
5875,73333
5901,45625
5902,45833
5903,55385
5904,39583
5905,56094
5906,47222
5907,51250
6001,161013
6002,86652
6010,76991
6013,130208
6016,96852
6018,80600
6019,111019
6020,-
6021,70000
6022,-
6023,-
6024,98056
6026,104000
6027,87500
6029,105923
6031,101382
6032,130497
6033,126720
6035,125482
6037,115572
6039,122841
6040,70241
6042,84550
6043,118958
6051,35923
6052,73822
6053,58529
6057,123939
6058,94125
6059,-
6060,132019
6061,-
6062,83792
6063,116118
6065,103077
6066,85987
6067,104319
6068,105962
6069,106949
6070,133500
6071,108273
6073,181652
6074,119385
6076,81875
6078,109646
6081,88875
6082,84620
6084,126000
6085,118971
6088,83824
6089,129500
6090,150787
6091,138333
6092,150625
6093,108310
6095,96259
6096,86783
6098,69518
6103,112039
6105,46466
6106,33822
6107,144865
6108,57586
6109,101966
6110,77229
6111,98183
6112,41928
6114,34769
6117,154356
6118,64396
6119,97006
6120,27161
6160,-
6226,34622
6231,118702
6232,109688
6234,87279
6235,97833
6237,103352
6238,96890
6239,64680
6241,93529
6242,103056
6243,-
6247,80125
6248,123527
6249,96705
6250,96797
6254,107250
6255,81735
6256,61094
6259,118419
6260,59788
6262,70833
6263,-
6264,-
6266,68684
6268,102888
6269,-
6277,81458
6278,99028
6279,93083
6280,80000
6281,102460
6282,49740
6320,39663
6330,76618
6331,87734
6332,-
6333,126694
6334,90625
6335,102803
6336,158750
6339,101622
6340,70252
6350,-
6351,75426
6353,-
6354,70143
6355,110429
6357,92250
6359,85870
6360,58263
6365,82639
6370,104613
6371,107154
6373,-
6374,77604
6375,102411
6376,-
6377,72917
6378,118580
6379,80611
6380,55744
6382,72801
6384,83702
6385,94412
6387,-
6389,-
6390,145859
6401,65067
6403,119591
6405,93262
6409,112813
6410,128092
6412,112788
6413,85152
6414,-
6415,107900
6416,102721
6417,96488
6418,66152
6419,117682
6420,117269
6422,125515
6423,94570
6424,113389
6426,133618
6437,124259
6438,107865
6441,123077
6442,104083
6443,133125
6444,116250
6447,113875
6450,71407
6451,67386
6455,126607
6456,168958
6457,84941
6460,99626
6461,111098
6467,104750
6468,132836
6469,97417
6470,131941
6471,101927
6472,101033
6473,110805
6475,101944
6477,127625
6478,110147
6479,104181
6480,106557
6481,104917
6482,139132
6483,103359
6484,102108
6488,111489
6489,105478
6492,98695
6498,118467
6510,79375
6511,47450
6512,81767
6513,44914
6514,82655
6515,68725
6516,67038
6517,105533
6518,111607
6519,27750
6524,125000
6525,161635
6604,38395
6605,43381
6606,62641
6607,38393
6608,35244
6610,53550
6611,129629
6612,158229
6614,97651
6615,65543
6702,-
6704,39253
6705,52486
6706,48544
6708,62002
6710,34276
6712,111979
6716,93938
6750,104135
6751,108750
6752,115714
6754,101563
6755,106181
6756,110795
