Zip Code,Median Household income
4459,35750
4460,34563
4461,53349
4462,35024
4463,36098
4464,39013
4468,42965
4469,-
4471,31771
4472,57768
4473,47528
4474,70833
4475,49250
4476,44659
4478,43750
4479,41406
4481,53333
4485,47679
4487,35625
4488,62969
4489,-
4490,60000
4491,46250
4492,43750
4493,48558
4495,39688
4496,62455
4497,20729
4530,53571
4535,76250
4537,64375
4538,48475
4539,62292
4541,45893
4543,55852
4544,68828
4547,59167
4548,68472
4551,60833
4553,67295
4554,70125
4555,64145
4556,56950
4558,61534
4562,77143
4563,58221
4564,65500
4568,52292
4570,-
4571,64531
4572,41069
4573,73125
4574,53438
4575,142614
4576,54808
4578,57031
4579,78380
4605,57856
4606,38906
4607,47313
4609,66591
4611,50441
4612,71691
4613,98438
4614,69087
4616,51010
4617,63409
4619,32601
4622,38203
4623,47500
4624,65000
4625,46719
4626,50536
4627,46932
4628,53333
4629,-
4630,43821
4631,34427
4634,44487
4635,21250
4637,38750
4640,61296
4642,51875
4643,43750
4644,-
4645,32500
4646,59038
4648,42014
4649,38529
4650,-
4652,37267
4653,44615
4654,36490
4655,51696
4657,56250
4658,45139
4660,102981
4662,53558
4664,59327
4666,41806
4667,41838
4668,32417
4669,-
4671,59911
4673,32813
4674,63750
4675,99167
4676,59375
4677,59444
4679,56017
4680,43810
4681,60313
4683,99107
4684,70703
4685,69531
4686,53750
4691,55625
4693,42000
4694,46895
4730,39665
4732,40481
4733,36500
4734,48676
4735,44205
4736,43390
4739,38700
4740,41976
4741,-
4742,40457
4743,48708
4745,46667
4746,27969
4747,42356
4750,38750
4756,35757
4757,56579
4758,44602
4760,38917
4761,47500
4762,36932
4763,33750
4764,50000
4765,29643
4766,41797
4768,48417
4769,39366
4772,47500
4773,44412
4774,39485
4776,43611
4777,40714
4779,42917
4780,37969
4781,50000
4783,35938
4785,31019
4786,39662
4787,32917
4841,44156
4843,67226
4847,69107
4848,63472
4849,62205
4851,51250
4852,-
4853,68194
4854,59643
4855,113750
4856,66731
4858,68438
4859,50197
4860,52449
4861,54981
4862,60479
4863,65313
4864,67680
4901,45341
4910,51667
4911,36375
4912,35000
4915,56892
4917,87663
4918,69250
4920,33788
4921,37946
4922,43333
4923,35357
4924,53632
4925,58438
4926,-
4927,49750
4928,41875
4929,34917
4930,39617
4932,57250
4933,-
4936,-
4937,40725
4938,47556
4939,39464
4940,-
4941,52311
4942,31280
4943,33831
4944,-
4945,40417
4947,59219
4949,48203
4950,41900
4951,45188
4952,55208
4953,56016
4955,51806
4956,52361
4957,48986
4958,51622
4961,44318
4962,-
4963,63125
4964,56000
4965,49511
4966,38859
4967,47634
4969,49063
4970,57974
4971,48953
4973,64773
4974,36262
4975,-
4976,45944
4978,70054
4979,45455
4981,59035
4982,42500
4983,43594
4984,42917
4985,24583
4986,47799
4987,47031
4988,27227
4989,63092
4992,-
5001,64277
5031,85833
5032,57682
5033,51510
5034,72625
5035,51429
5036,57386
5037,91786
5038,52303
5039,50500
5040,76500
5041,68664
5042,53750
5043,80551
5045,56094
5046,55000
5048,66342
5050,41694
5051,55179
5052,67991
5053,93750
5055,120729
5056,59375
5058,56250
5059,-
5060,59737
5061,68964
5062,55694
5065,60174
5067,126458
5068,57995
5069,61875
5070,99792
5071,54352
5072,81750
5075,80795
5076,47404
5077,59464
5079,57500
5081,36786
5083,47443
5084,74375
5086,70250
5089,50710
5091,75556
5101,43237
5141,40000
5142,56688
5143,57974
5146,61000
5148,72813
5149,53333
5150,30685
5151,70906
5152,58750
5153,48214
5154,35795
5155,54732
5156,52488
5158,75313
5161,76953
5201,51106
5250,58548
5251,51250
5252,68500
5253,-
5254,93162
5255,66181
5257,61847
5260,88565
5261,57813
5262,87328
5301,44437
5340,54306
5341,48750
5342,43750
5343,61641
5345,54917
5346,57716
5350,57500
5352,68594
5353,56389
5354,66905
5355,60000
5356,53167
5358,63750
5359,62778
5360,48125
5361,69338
5362,57917
5363,50461
5401,45018
5403,72924
5404,51728
5405,-
5408,68949
5439,-
5440,53550
5441,65481
5442,69375
5443,69306
5444,71875
5445,108611
5446,71090
5447,45500
5448,68750
5450,59522
5452,84717
5454,80288
5455,89609
5456,80455
5457,77434
5458,73250
5459,52731
5461,72766
5462,87390
5463,59583
5464,72866
5465,98375
5468,87640
5471,38333
5472,74659
5473,81250
5474,80781
5476,48179
5477,99005
5478,63357
5481,-
5482,96064
5483,69808
5485,63333
5486,94063
5487,70481
5488,65191
5489,101417
5491,72275
5492,70000
5494,92292
5495,93054
5602,68338
5640,52500
5641,56156
5647,44091
5648,77813
5649,82804
5650,65063
5651,63409
5652,56875
5653,56667
5654,44063
5655,60000
5656,53125
5657,94643
5658,60278
5660,83125
5661,63679
5663,67328
5664,-
5667,51574
5669,63750
5672,59770
5673,80590
5674,64022
5675,59938
5676,73583
5677,78889
5678,-
5679,67333
5680,67931
5681,67917
5682,62727
5701,52282
5730,65625
5732,44375
5733,61864
5734,63529
5735,45900
5736,49643
5737,77750
5738,71538
5739,58929
5740,-
5742,78542
5743,55714
5744,60703
5747,70417
5748,53750
5751,64231
5753,67772
5757,62566
5758,72917
5759,53618
5760,62857
5761,55000
5762,50781
5763,55217
5764,48991
5765,64528
5766,70893
5767,50089
5769,74485
5770,59511
5772,66964
5773,61250
5774,67917
5775,47917
5776,55795
5777,60104
5778,53958
5819,43641
5820,48214
5821,65568
5822,45921
5824,55069
5825,38750
5826,56354
5827,57188
5828,58421
5829,45052
5830,50250
5832,52339
5833,77661
5836,60875
5837,38750
5839,48929
5841,45000
5842,59135
5843,43652
5845,45729
5846,43000
5847,50625
5850,-
5851,51101
5853,45000
5855,49750
5857,64104
5858,32917
5859,47708
5860,47864
5862,77778
5866,59750
5867,63417
5868,70000
5871,53523
5872,31111
5873,63382
5874,47188
5875,42000
5901,-
5902,29167
5903,46635
5904,27981
5905,50089
5906,45625
5907,41250
6001,127230
6002,76717
6010,67507
6013,127353
6016,89029
6018,55000
6019,84828
6020,-
6021,108000
6022,199097
6023,95699
6024,95972
6026,104336
6027,101397
6029,91042
6031,81815
6032,93497
6033,116766
6035,108571
6037,103702
6039,72604
6040,68974
6042,80516
6043,105772
6051,36634
6052,74340
6053,51283
6057,111788
6058,76354
6059,-
6060,151417
6061,-
6062,72175
6063,115926
6065,81667
6066,64642
6067,85125
6068,63788
6069,80000
6070,125192
6071,108370
6073,149226
6074,107374
6076,77228
6078,114053
6081,71049
6082,79730
6084,118194
6085,91801
6088,61889
6089,114556
6090,158320
6091,-
6092,149500
6093,114500
6095,92132
6096,70067
6098,71981
6103,84469
